repo_path,date,bytes,sha256,source,drive_id,method,title
00_canon/2026-07-21 ledger_patches_proposed_ActiveV2.md,2026-07-21,8270,a999f540d2c8d73d66a5d34efc1f16a0d0a8a734112b9be76dd1161ee8db9ca5,drive,1sxtDXLOYZDZjWbhe92YW_eifs5jzVGEf,drive-base64-exact,2026-07-21 — Proposed ledger patches [ActiveV1]
00_canon/2026-07-22 ot1_delta_EXHIBITION_GRADED_conductor_4000_ActiveV5.md,2026-07-22,10096,aac401e8b269d2e772c11b3ecfee217cb2d9f8d9ca356fbb858299e2dcc9fcd8,drive,1chIOaJDqMLj7B_Z5TTeybPBVeCDQ-Oee,drive-base64-exact,Session Delta — OT1: exhibition executed and externally graded; conductor = 4000; ladder corrected
00_canon/2026-07-25 correctness_patch_bundle_ActiveV1.md,2026-07-25,9628,d909e228798d420e4ea893252164e765538b82792628d5eb3c3be552f460b1e3,drive,1cfXsbDlwHkKzZ90i4IElnXAcZZTH3ESt,drive-base64-exact,Correctness Patch Bundle
00_canon/2026-07-25 foundations_status_block_proposed_ArchivalV1.md,2026-07-25,2899,8b3089c06ee04be05288754966445e90c4189eeb872f81861097352391c3e7f9,drive,14QqRMUJov5HwSvBAXpBjPtw5swHD3XD1,drive-base64-exact,Proposed canon patch: the Foundations Status block
00_canon/2026-08-05 README_ActiveV2 (superseded by the 2026-09-12 README).md,2026-08-05,12106,a5a24f5c9d4c27a62dd544d07c2b42b8c77e3d528fc9779a481cf6be6a79498c,drive,14pJmITytGpDTSmSNaXDHvHaHM__9do4f,drive-base64-exact,The TEP Archive
00_canon/2026-08-05 TEP_Corpus_Catalog_DeltaV2 (front sheet only).csv,2026-08-05,4004,0eabbc171514451f7199e165cae894ebb3aaa3c13713cb770cc14ac8b1f5b3a6,drive,1InCjNdHEycEqh0mKNTtbM-S80FESiC7AfC4KFyZEWLM,drive-sheet-export-csv,
00_canon/2026-08-05 TEP_Repository_Arch_ActiveV2.md,2026-08-05,16490,d2ce49cc8ce19c2640bc94b643c7cc4139b6b500d07318982204a55d16ffcdd2,project:arch/TEP_Repository_Arch_V2_20260805.md,,project-mirror-exact,The TEP Repository Architecture — V2 (ActiveV2)
00_canon/2026-08-05 UPLOAD_NOTE_delta_catalog.md,2026-08-05,1414,7b5245a17eb9dbc8b867633e1806e96c84a7549eeba9b5f8b90269faa2e37631,drive,1dMD4zg2CyefeW7bVVWqyxXqP9cGakWoN,drive-text-route-exact,Upload note — delta catalog files (2026-08-05)
00_canon/2026-08-05 spine_V3_present_first_and_stamp_kit_DraftV1.md,2026-08-05,14027,ea94f5222dbc8ca3e025141894a88fb6bee7e2ab74c35c7dcd6d741cf9969cd4,project:arch/spine_V3_present_first_and_stamp_kit_DraftV1_20260805.md,,project-mirror-exact,"Spine V3 (present-first) + Stamp Kit — DraftV1, 2026-08-05"
00_canon/2026-08-09 assessor_review_arch_spine_readmes.md,2026-08-09,16854,be3b35f939cc9551f1ef2ab4e97887027236b61d2760989075a68fc7b4845a3e,drive,1qcoHM7DYlaZ2f4QiwH7d7ceQYMzZPpz-,drive-text-route-exact,"Assessor review — Arch V2, Spine V3, the READMEs, and the DeltaV2 catalog, against the corrected frontier"
