p | factorization degrees mod p | Frobenius order | predicted |a_p| class
3 | [5] | 5 | golden {phi or 1/phi}
7 | [1, 1, 3] | 3 | 1
11 | [1, 1, 3] | 3 | 1
13 | [5] | 5 | golden {phi or 1/phi}
17 | [1, 1, 3] | 3 | 1
19 | [5] | 5 | golden {phi or 1/phi}
23 | [1, 2, 2] | 2 | 0
29 | [1, 1, 3] | 3 | 1
31 | [5] | 5 | golden {phi or 1/phi}
37 | [1, 2, 2] | 2 | 0
41 | [1, 1, 3] | 3 | 1
43 | [1, 1, 3] | 3 | 1
47 | [5] | 5 | golden {phi or 1/phi}
53 | [5] | 5 | golden {phi or 1/phi}
59 | [5] | 5 | golden {phi or 1/phi}
61 | [5] | 5 | golden {phi or 1/phi}
67 | [5] | 5 | golden {phi or 1/phi}
71 | [1, 1, 3] | 3 | 1
73 | [5] | 5 | golden {phi or 1/phi}
79 | [1, 1, 3] | 3 | 1
83 | [1, 2, 2] | 2 | 0
89 | [1, 2, 2] | 2 | 0
97 | [5] | 5 | golden {phi or 1/phi}

LMFDB/07-22 ground truth magnitudes (4000.1.b.a, nu=i*phi embedding):
  |a_3|=1/phi |a_7|=1 |a_11|=1 |a_13|=1/phi |a_17|=1 |a_19|=1/phi |a_23|=0 |a_29|=1 |a_31|=phi
