shelf,date_composed,date_filed,title,location,type,status,summary,link
drive,2026-07-16,2026-07-18,2026-07-16 nativity_test_battery_claude_fable.md,TEP 2026-07/Dated TEP Documents ~2026,test record,record,Model-nativity test battery (claude fable): baseline capability probes for the incoming model generation.,https://drive.google.com/file/d/1kd_g6CR55_RJ9yr1mvQ5gcg8jaNOYJeD/view
drive,2026-07-17,2026-07-18,2026-07-17 test_round_2_record_claude_fable.md,TEP 2026-07/Dated TEP Documents ~2026,test record,record,Test round 2 record (claude fable).,https://drive.google.com/file/d/1p29hdvzJJYrZ5MOe6Wp0uvH94PAbOiJP/view
drive,2026-07-18,2026-07-18,2026-07-18 test_round_3_record_claude_fable.md,TEP 2026-07/Dated TEP Documents ~2026,test record,record,Test round 3 record (claude fable).,https://drive.google.com/file/d/1vud1BmMRPCRkl56DcYQZTueD8LK5l8kL/view
drive,2026-07-17,2026-07-18,2026-07-17 dynamics_two_functional_conjecture_DraftV1.md,TEP 2026-07/Dated TEP Documents ~2026,working note,draft,Two-functional dynamics conjecture opening note.,https://drive.google.com/file/d/17OUT1whbS624lujY9zjRdg-51GhFZFMU/view
drive,2026-07-19,2026-07-19,2026-07-19 seam_toll_ledger_line_duality_record_ActiveV1.md,TEP 2026-07/Dated TEP Documents ~2026,session record,active,Seam-toll / ledger-line duality record; §C.0 self-reference wiring supersedes the gaussian-witness Delta1 rung-law framing (QC stamp S2).,https://drive.google.com/file/d/1fSktPgvzOd498nCLtkS4TDuar3KcedBp/view
drive,2026-07-19,2026-07-19→07-22,gaussian_witness_capacity_audit_record (ArchivalV1 → ActiveV2),TEP 2026-07/Dated TEP Documents ~2026,session record,active (ActiveV2),"Gaussian-witness capacity audit. Re-versioned 07-22: original retitled ArchivalV1, ActiveV2 issued (QC stamp S1: headline closure gauge-dependent per its own Delta1 §E1).",https://drive.google.com/file/d/1ZTIXvw8VNOTEbC2VXdRC3DdRzzahEzjX/view
drive,2026-07-19,2026-07-19→07-22,gaussian_witness_gauge_wiring_cascade (ArchivalV1-Delta1 → ActiveV2-Delta1),TEP 2026-07/Dated TEP Documents ~2026,session record,active (ActiveV2),Gauge-wiring cascade companion; same 07-22 Archival→Active re-versioning (QC stamp S2 on §S3/S4).,https://drive.google.com/file/d/1_6ziwXMgaucNcvl9qJW1pgmEfyMFuM60/view
drive,2026-07-19,2026-07-19→07-22,two_ledgers_legendre_lift_silver_standing_wave (ArchivalV1 → ActiveV2),TEP 2026-07/Dated TEP Documents ~2026,session record,active (ActiveV2),Two-ledgers/Legendre-lift note; §1.2 GMC row was the week's one outright error (QC stamp S3). Archival→Active 07-22.,https://drive.google.com/file/d/1Pi49bfo02A68VmUTzKx4LaD5m3FDHEux/view
drive,2026-07-19,2026-07-19→07-22,hbar_c_conjugate_pairs_and_leverage_note (ArchivalV1 → ActiveV2),TEP 2026-07/Dated TEP Documents ~2026,session record,active (ActiveV2),ħ·c conjugate-pairs note; [V] marks demoted to testimony pending script archive (QC stamp S4). Archival→Active 07-22.,https://drive.google.com/file/d/1IHpPR1rRkEfC2ND_3_MJ3W1DYn7mwG-4/view
drive,2026-07-19,2026-07-19,2026-07-19 signed_digit_ports_note.md,TEP 2026-07/Dated TEP Documents ~2026,working note,active,Signed-digit ports note.,https://drive.google.com/file/d/1tPO0_aXr9Ze1Rh-i-VRPU6LbYgUawPbr/view
drive,2026-07-19,2026-07-19,cross_budget_pair_ledgers_and_odds_gauge_note (ActiveV1; +DraftV1 dup),TEP 2026-07/Dated TEP Documents ~2026,session record,active,Cross-budget pair-ledgers and odds-gauge note (QC: status mismatch stamped). Duplicate DraftV1 uploads on 07-19T19:21.,https://drive.google.com/file/d/1ZB5tizrahc7euayCBvg3rGcf8Umy7Q3F/view
drive,2026-07-19,2026-07-19,2026-07-19 cross_budget_note_Delta1_parity_chart_group_DraftV1.md (×2 copies),TEP 2026-07/Dated TEP Documents ~2026,delta,draft,Cross-budget Delta1: parity chart group.,https://drive.google.com/file/d/1rfjUDSmlck27WBCzgJLEfzua2PXVfoFb/view
drive,2026-07-19,2026-07-19,2026-07-19 affinity_distillation_gap_note_DraftV1.md,TEP 2026-07/Dated TEP Documents ~2026,working note,draft,Affinity-distillation gap note.,https://drive.google.com/file/d/19f_4QkX8_OBKMvccPkjgkbppwI_FdCmQ/view
drive,2026-07-19,2026-07-19,2026-07-19 OT5_campaign_opening_uniqueness_ladder_DraftV1.md,TEP 2026-07/Dated TEP Documents ~2026,campaign record,draft,OT5 campaign opening: uniqueness ladder. (P-E later splits the OT5-fork vs OT5-unique namespace.),https://drive.google.com/file/d/1k5m1W5b1DFr0zUAkEzWTuIDcqxd3lo_B/view
drive,2026-07-19,2026-07-19,2026-07-19 completeness_reduction_theorem_note_DraftV1.md,TEP 2026-07/Dated TEP Documents ~2026,theorem note,draft,Completeness-reduction theorem note (load-bearing for the foundations block).,https://drive.google.com/file/d/14e44KrI1XzPrOzSwSGATy8LPu7G8PBk5/view
drive,2026-07-19,2026-07-19,2026-07-19 OT5_Delta1_W1_welding_inventory_SvN_skeleton.md,TEP 2026-07/Dated TEP Documents ~2026,delta,draft,"OT5 Delta1: W1 welding inventory, SvN skeleton.",https://drive.google.com/file/d/1jVEuwL4WtVC_i7Ho0sBqQR2ukj7XK5Wc/view
drive,2026-07-20,2026-07-19,2026-07-20 OT5_Delta2_resolution_sweep_quartet_spectral.md,TEP 2026-07/Dated TEP Documents ~2026,delta,draft,"OT5 Delta2: resolution sweep, quartet spectral.",https://drive.google.com/file/d/13ypdOBk4Qus0MnNlrXVlkEp8siITDOub/view
