TEP CORPUS CATALOG — delta v1.1,
Generated,"2026-08-05, by Claude at Will Copeland's direction. Companion and supplement to TEP_Corpus_Catalog_v1.xlsx (2026-07-16) — v1 remains the index of record for everything on or before 2026-07-16; this delta catalogs all work since, plus status changes to v1 rows."
Scope,"Every file created or substantively modified after 2026-07-16 across Google Drive (~150 substantive documents + instrument folders, of ~450 new file objects incl. the 07-16 re-upload layer), PLUS the claude.ai project cleanroom/ corpus (49 docs, 2026-07-27 → 2026-08-04), which is now a first-class corpus location."
,
THE FOUR SHELVES,"The corpus now lives in four places. 1) Google Drive: the working tree (TEP 2026-07 and subfolders). 2) The claude.ai project '2026-07-26', cleanroom/ namespace: the sealed-campaign record set with SHA-256 manifests and script bundles (regenerates deterministically). 3) The GitHub repo (tep-archive): curated public mirror; last known push 2026-07-24 (per the third external review §0) — everything later is Drive/project-only pending push. 4) Conversation-delivered zip archives, hash-pinned (e.g. TEP_even_icosahedral_20260803-04.zip, sha256 260512aa…, delivered 2026-08-04)."
,
SHEETS,
1. Priority Spine V2,"Updated reading order: phases I–V retained from v1 (16 docs, two pointer updates), phases VI–IX new/extended (the instrument era, the assessment ledger, the carrier campaign, the cleanroom summit). A six-stop fast path is marked in the Phase column."
2. New Documents 0716-0805,"The post-catalog Drive layer, individually reviewed: date, title, location, type, status, one-line summary, notes. Instrument/code folders are rolled up as single rows (v1 bulk-data precedent). Practice records (asides/consolidation entries) are typed 'practice'."
3. Project Cleanroom Index,"All 49 cleanroom/ docs in the claude.ai project — the primary record of 2026-07-27 → 2026-08-04 (replication, Rung E, six-for-six, the KD-2 campaign, the 08-03 summit decode, 2141, verification, Crespo grade). These are NOT in Drive except where noted."
4. Version & Status Events,"The supersession/correction ledger 07-16 → 08-05: every re-versioning (ArchivalVn→ActiveVn), every canon update (Central Reference ActiveV3, spine trace V12), every erratum/retraction/closure — including status changes to documents catalogued in v1."
5. Hygiene Punch List V2,"v1's known-gaps ledger graded (closed / resolved / open) plus new flags found in this pass, each with a recommendation."
,
STATUS VOCABULARY,"v1 vocabulary retained (canonical / active / archival / superseded / exploratory / assessment / transcript / duplicate-suspect) plus tags the corpus added since: DraftVn (working draft, not yet Active), countersigned (Will's adjudication stamp on record), prereg / commit / results / grade (campaign-record roles), manifest / bundle (provenance artifacts), starter (session handoff), practice (asides/consolidation layer), offered (offered-not-self-filed, awaiting countersign — the default state of all cleanroom records; see countersign_ledger)."
DATES,"Two dates are carried where they differ: date_composed (from the title / content) and date_filed (Drive createdTime) — adopting the composed-vs-filed convention proposed in the 08-01 archaeology entry. The 2026-07-16T11:xx upload layer re-files pre-existing documents; title dates are authoritative there (v1 rule, unchanged)."
,
GOVERNING DOCUMENTS,"Read-status of everything is governed by: the 06-10 consolidated errata; the 07-21 ledger_patches_proposed_ActiveV1 (P1–P7); the 07-25 correctness_patch_bundle (P-A–P-G, incl. Foundations Status block v2 in its appendix); the 08-01 archaeology corrections (ActiveV2); the countersign_ledger_20260803 (+ C/D additions) for everything offered-not-self-filed; and the standing rule 'trust derivations, distrust consolidation prose' — which the 07-25 review addenda demonstrated applies to the review layer itself."
